City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
262,Rikitea,-23.1203,-134.9692,68.29,59,60,8.88,PF,2022-09-27 16:48:29,broken clouds
263,Bambous Virieux,-20.3428,57.7575,72.21,68,75,11.5,MU,2022-09-27 16:50:57,broken clouds
264,Cape Town,-33.9258,18.4232,64.09,48,20,13.8,ZA,2022-09-27 16:53:33,few clouds
265,Albany,42.6001,-73.9662,64.24,70,67,6.91,US,2022-09-27 16:43:51,broken clouds
266,Port Elizabeth,-33.918,25.5701,66.09,97,100,17.27,ZA,2022-09-27 16:54:49,moderate rain
267,Guerrero Negro,27.9769,-114.0611,79.95,63,1,2.82,MX,2022-09-27 16:54:38,clear sky
268,Hasaki,35.7333,140.8333,66.6,68,100,18.16,JP,2022-09-27 16:50:59,overcast clouds
269,Saint George,37.1041,-113.5841,80.8,31,40,0.0,US,2022-09-27 16:50:07,scattered clouds
270,Ushuaia,-54.8,-68.3,51.42,87,100,33.38,AR,2022-09-27 16:49:32,light rain
271,Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,100,75,4.47,RU,2022-09-27 16:55:01,broken clouds
272,Kikwit,-5.041,18.8162,79.52,69,71,2.15,CD,2022-09-27 16:55:02,broken clouds
273,Bathsheba,13.2167,-59.5167,84.06,85,40,4.61,BB,2022-09-27 16:52:13,scattered clouds
274,Mataura,-46.1927,168.8643,49.48,99,100,2.44,NZ,2022-09-27 16:49:41,overcast clouds
275,Yashkul,46.1711,45.3435,68.5,60,100,16.17,RU,2022-09-27 16:55:03,overcast clouds
276,Butaritari,3.0707,172.7902,82.51,72,17,17.6,KI,2022-09-27 16:56:03,few clouds
277,Pingyin,36.2831,116.4453,65.26,61,100,6.04,CN,2022-09-27 16:56:03,overcast clouds
278,Hobart,-42.8794,147.3294,49.26,93,40,5.75,AU,2022-09-27 16:55:49,scattered clouds
279,Huarmey,-10.0681,-78.1522,68.04,68,74,12.93,PE,2022-09-27 16:56:04,broken clouds
280,Jamestown,42.097,-79.2353,55.04,86,100,12.66,US,2022-09-27 16:51:58,overcast clouds
281,Shimoda,34.6667,138.95,69.1,78,91,15.41,JP,2022-09-27 16:56:05,overcast clouds
282,Albany,42.6001,-73.9662,65.05,71,67,1.01,US,2022-09-27 16:56:05,broken clouds
283,Ushuaia,-54.8,-68.3,51.42,87,100,33.38,AR,2022-09-27 16:56:06,light rain
284,Mataura,-46.1927,168.8643,49.48,99,100,2.44,NZ,2022-09-27 16:56:07,overcast clouds
285,Ostrovnoy,68.0531,39.5131,39.96,83,100,10.58,RU,2022-09-27 16:56:07,overcast clouds
286,Busselton,-33.65,115.3333,50.29,88,0,9.31,AU,2022-09-27 16:56:08,clear sky
287,Balkanabat,39.5108,54.3671,79.7,25,0,13.2,TM,2022-09-27 16:56:08,clear sky
288,Vikhorevka,56.1201,101.1636,33.39,89,100,5.26,RU,2022-09-27 16:56:08,overcast clouds
289,Avarua,-21.2078,-159.775,75.25,94,98,5.75,CK,2022-09-27 16:56:09,overcast clouds
290,Hasaki,35.7333,140.8333,66.6,68,100,18.16,JP,2022-09-27 16:55:58,moderate rain
291,Saint-Philippe,-21.3585,55.7679,71.19,75,23,12.39,RE,2022-09-27 16:56:10,few clouds
292,Yellowknife,62.456,-114.3525,55.92,76,40,12.66,CA,2022-09-27 16:52:03,scattered clouds
293,Rikitea,-23.1203,-134.9692,68.29,59,60,8.88,PF,2022-09-27 16:56:11,broken clouds
294,Avera,33.194,-82.5271,77.56,28,5,4.76,US,2022-09-27 16:56:11,clear sky
295,East London,-33.0153,27.9116,65.34,100,100,17.27,ZA,2022-09-27 16:56:12,light rain
296,Amuntai,-2.4177,115.2494,73.53,91,26,1.43,ID,2022-09-27 16:56:12,scattered clouds
297,Swift Current,50.2834,-107.8014,63.41,48,0,16.11,CA,2022-09-27 16:54:32,clear sky
298,Cabo San Lucas,22.8909,-109.9124,91.62,68,0,1.95,MX,2022-09-27 16:55:49,clear sky
299,Atuona,-9.8,-139.0333,76.84,71,26,21.3,PF,2022-09-27 16:56:13,scattered clouds
300,Bethel,41.3712,-73.414,70.02,61,66,5.99,US,2022-09-27 16:56:14,broken clouds
301,Mataura,-46.1927,168.8643,49.48,99,100,2.44,NZ,2022-09-27 16:56:07,overcast clouds
302,Cap Malheureux,-19.9842,57.6142,72.46,64,9,8.99,MU,2022-09-27 16:56:15,clear sky
303,Bredasdorp,-34.5322,20.0403,56.34,83,1,6.17,ZA,2022-09-27 16:56:15,clear sky
304,Vaini,-21.2,-175.2,66.36,94,20,3.44,TO,2022-09-27 16:56:16,few clouds
305,Rikitea,-23.1203,-134.9692,68.29,59,60,8.88,PF,2022-09-27 16:56:11,broken clouds
306,Fare,-16.7,-151.0167,77.61,77,6,15.41,PF,2022-09-27 16:56:17,light rain
307,Komsomolskiy,40.4272,71.7189,68.72,45,0,4.61,UZ,2022-09-27 16:56:17,clear sky
308,Georgetown,5.4112,100.3354,81.9,85,20,1.14,MY,2022-09-27 16:51:27,few clouds
309,Aldan,58.6031,125.3894,25.83,86,100,3.85,RU,2022-09-27 16:56:18,overcast clouds
310,Grand Island,40.925,-98.342,74.23,43,4,7.99,US,2022-09-27 16:55:15,clear sky
311,Ushuaia,-54.8,-68.3,51.42,87,100,33.38,AR,2022-09-27 16:56:06,light rain
312,Tabora,-5.0167,32.8,83.7,20,96,9.69,TZ,2022-09-27 16:56:19,overcast clouds
313,Arraial Do Cabo,-22.9661,-42.0278,78.76,69,40,10.36,BR,2022-09-27 16:56:19,scattered clouds
314,Russell,32.3502,-85.1999,78.08,17,0,10.45,US,2022-09-27 16:56:20,clear sky
315,Paso De Patria,-27.2454,-58.5454,83.07,30,14,12.71,AR,2022-09-27 16:56:20,few clouds
316,Darhan,49.4867,105.9228,44.11,67,85,5.08,MN,2022-09-27 16:56:21,overcast clouds
317,Khatanga,71.9667,102.5,17.89,94,83,5.3,RU,2022-09-27 16:56:21,broken clouds
318,Hobart,-42.8794,147.3294,49.26,93,40,5.75,AU,2022-09-27 16:55:49,scattered clouds
319,Pauini,-7.7136,-66.9764,100.58,28,42,3.4,BR,2022-09-27 16:56:22,scattered clouds
320,Hobart,-42.8794,147.3294,49.26,93,40,5.75,AU,2022-09-27 16:55:49,scattered clouds
321,Kavieng,-2.5744,150.7967,81.7,72,50,13.56,PG,2022-09-27 16:56:22,scattered clouds
322,Eyl,7.9803,49.8164,79.0,78,70,21.61,SO,2022-09-27 16:56:23,broken clouds
